song_name,artist_name,song_type
ye,burna boy,hip-hop
ole,tiwa savage,hip-hop
boxed in,sainvil,r&b
sorrow tears and blood,fela kuti,r&b
no more teardrops,vic mensa,hip-hop
by any means,jorja smith,r&b
black woman,emanuel (cellulardada),r&b
"to be young, gifted and black",donny hathaway,r&b
dangote,burna boy,hip-hop
somethings gotta give,sonna rele,r&b
real black,"kevin ross, trevor jackson and jacob latimore",r&b
2000 blacks got to be free,fela kuti,r&b
i need you to,tobe nwigwe,hip-hop
this is america,childish gambino,hip-hop
alright,kendrick lamar,hip-hop
black parade,beyonce,r&b
the bigger picture,lil baby,hip-hop
they dont care,lloyd,hip-hop
dont shoot,the game,hip-hop
lockdown,anderson paak,hip-hop
i cant breathe,h.e.r,r&b
i cry,usher,hip-hop
june 5th queenzngodz,wale,hip-hop
black,buddy,hip-hop
say it loud im black and im proud,james brown,r&b
freedom,beyonce,r&b
melanated,katori walker,r&b
mr officer,tee grizzley,hip-hop
otherside of america,meek mill,hip-hop
fdt,yg,hip-hop
s.o.t.l. (silence of the lambs),ludacris,hip-hop
16 shots,vic mensa,hip-hop
dont die,killer mike,hip-hop
the revolution will not be televised,gil scott heron,r&b
slippin into darkness,war,r&b
mad,solange,hip-hop
black man,felixx,r&b
i just wanna live,keedron bryant,r&b
2020 riots how many times,trey songz,r&b
my people,amber mark,r&b
