,lyrics
0, yeah my nigga die for nothing ah my nigga die for nothing ah die for nothing ah my nigga die for nothing ah my nigga die for nothing ah my nigga oluwaburna ehn ehn ye ye ye ye ye ye ye ye ye ye ye ehn ehn ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ehn ehn ye ye ye ye ye ye ye ye ye ye this one na gbedu wey dey ja pata me i no get time i dey da pada dada cover my face calling me lagbaja biggie man wey no dey wear agbada ahn ahn my nigga whats it gon be g wagon or de bentley the gyaldem riding with me i no fit die for nothing my nigga whats it gon be g wagon or de bentley the gyaldem riding with me i no fit die for nothing ahn ahn make you know say anything wey you do dem must commentate so anything wey i dey do i dey try to dey do am my way plenty plenty plenty suffer wey we face just to make sure money dey but my people dem go say i no want kpai i no want die i no want kpeme i want enjoy i want chop life i want buy motor i want build house i still want turn up tell me tell me my nigga whats it gon be g wagon or de bentley the gyaldem riding with me i no fit die for nothing my nigga whats it gon be g wagon or de bentley the gyaldem riding with me i no fit different things dem happening schemes and packaging in a one night four shows im juggling flow like the ocean my boat im paddling shout out shina peller thats my bro my family frozen chains when it comes to money i dey concentrate make i tell you straight you are not my mate if you be commission i be head of state but my people dem go say i no want kpai i no want die i no want kpeme i want enjoy i want chop life i want buy motor i want build house i still want turn up tell me tell me my nigga whats it gon be g wagon or de bentley the gyaldem riding with me i no fit die for nothing my nigga whats it gon be g wagon or de bentley the gyaldem riding with me i no fit die for nothing oluwaburna ye ye ye ye ye ye ye ye ye ye ehn ehn ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ehn ehn ye ye ye ye ye ye ye ye ye ye ye ehn ehn ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ye ehn ehn ye ye ye ye ye ye ye ye ye ye
1,intro ole ole ole ole ole ole ole ajibole ole ole ole ole ole ole ole ajibole ole ole ole ajibole ole ole ole verse 1 tiwa savage gimme my money wetin you owe me dont go funny you dont know me you see my goons they be rolling no want tori oo oga share the money ayayaya pre chorus tiwa savage because sey i quiet no mean sey i be fool lori titi awon temi ti kanaku hmmm because sey i quiet no mean sey i be fool lori titi awon temi ti kanaku hmmm chorus tiwa savage and naira marley e ba mi kigbe ole somebody shout ole come and see ole verse 2 naira marley san wo mi wo kin jemi lowo e wo ole ewo bo nshe nowo koni ishe lowo but o lowo toba ra nkan wale e bere bo nshe lowo although ole ni e everybody by all means you must get the money o je gbese wo 2020 ma jale ole lo ba omo je can you hear me wan bi ki lon wa kiri na shey o mo kpe owo lon turn me on gbe di awe yi wo si ohun o fe fi obo san gbese koni iberu olorun sho mo kpe tinwa tinwa sho mo kpe won ti gba funwa advice ni ma lo ba won wa to ba pano inu okunkun gan amorawa chorus tiwa savage and naira marley e ba mi kigbe ole somebody shout ole come and see ole outro 
4, no more teardrops no more teardrops no more teardrops no more teardrops no more teardrops no more teardrops no more teardrops no more teardrops no more teardrops no more teardrops police cars on fire in the streets tear gas and the dogs on a leash the scene seem like somethin in the sixties they takin knees like monica lewinsky they beating women like bobby did whitney thats why the only blue we salute is to nipsey juneteenth barbecue at the precinct hanging by the pigtails burned down wendys strange fruits still swingin from the trees white folks protesting cause they cant leave try twenty five to life thats a real quarantine they just take the mask off when they cant breathe but we got officers knees in our esophagus face blue cause he running out of oxygen got his brains blew by one of his accomplices add you to the list of his accomplishments he came forward in the night now were mourning black fist up to no knock warrants but the fascism aint the only army warrin look at the way the patriarchy took and tore him look at the blood the streets filled with teardrops i aint slavin for em i aint bout to share crop pissed off my wrist lock in gridlock im with this shits nigga til the bullshit stop no more teardrops no more teardrops no more teardrops no more tears no more teardrops no more teardrops no more teardrops no more tears im tired of only seein niggas at the funeral tired of learnin my homies name at the eulogy im tired of wearin suits man this aint suitable im tired of runnin but the cops keep shooting me niggas dyin and we still buyin jewelry nigga this aint the time for the tomfoolery a sign of the times shit aint what it used to be i throw a hoodie on look at what they do to me 223 cocked i dont need a handout this wall street we done got a bailout they try to tell us to believe in the government but even when barack is president niggas had to sell rocks one out of fifteen niggas in the cell block the other fourteen dont nobody care about im in the courtroom pullin my hair out cause i get another year for each one of my dreadlocks at times you gotta fight back to get your life back but if you fight back you might get your life jacked and just to fight back you gotta have the right stack cause johnny cochran gonna hit you with the price tag malcolm x huey newton they dont like that hell hell nah they dont like that first nigga try to hit me with a nightstick im going for my clip i aint goin out like that no more teardrops no more teardrops no more teardrops no more tears no more teardrops no more teardrops no more teardrops no more tears can you feel that pain say its time for a change can you feel that pain say its time for a change i know im at war all i ever wanted to do was live without fear with nowhere to go spiritual negro keeper of the cult mahogany holy ghost first i assert my memory rockin my moccasins i spit fire that was stored up in my bones then i smoke listen loc all skin folk aintt your kinfolk its what i kept my dome on a swivel for in this uncivil war they want me to shut up and dribble more black soil got rich from the dirt struggle marriage still engaged in combat looking for real im that and im nat turing a burner into a hot plate to feed my youngins indeed they thuggin
8, dangote dangote dangote still dey find money o no level no level it s kel p vibes dangote dangote dangote still dey find money o i no dey i no dey i no dey sleep on the money o who i be who i be wey make i no go find money o i no dey send anybody o me i dey hustle gan gan choko make you hustle ma lo go i no be olodo i no be bolo wo omo to ba lo fuck up i go show you my colour shey wan ro pe mi o lopolo emi gan gan mo yan wan lopolo the matter plenty enu mi ole so tan oh no no o make una listen well well when i dey strive and i dey hustle wetin i dey find kaluba i dey find when i dey move from place to place wetin i dey find na the dollar i dey find and i don do yes yes yes yes and many people don tell me no no no no moni lati lowo o odi don don tori iya mi o bi mo odoyo is it because i dey do am for love if i get cash i go jaiye lokpopo i go give you cash i go be your sponsor mo ni iya mi o bi mo odoyo is it because i dey do am for love if i get money you go know o still i go hustle till thy kingdom come because because dangote dangote dangote still dey find money o i no dey i no dey i no dey sleep on the money o who i be who i be wey make i no go find money o i no dey send anybody o me i dey hustle gan gan choko make you hustle ma lo go i no be olodo i no be bolo wo omo to ba lo fuck up i go show you my colour shey wan ro pe mi lopolo emi gan gan mo yan wan lopolo the matter plenty enu mi ole so tan oh no no o emi gan gan lo mo ton so abi you forget say i be the gorgon mo man korin gongon lori gangan mo man korin gongon lori gangan bere lowo kel p tori owun gongon lolu gangan bami lu gongon yen dangoteeeee dey find money ro ro dey find money ye ye find money no no who i be to come dey sleep oh no come dey sleep ye ye mo ni ji masuun alakija dey find money dangote dey find money o otedola dey find money why me no go find money o ah ahn find money adeleke dey find money o adenuga dey find money why me no go find money find money find moneyyyyyy why me no go find money
12, i need you to arrest the killers of breonna taylor all of yall who think we need more evidence you goofy i said arrest the killers of breonna taylor and elijah mcclain too yall hoed that boy arrest the killers of breonna taylor all of yall who think we need more evidence you goofy i said arrest the killers of breonna taylor you catch the vibe now get off my page
13, yeah yeah yeah yeah yeah yeah yeah yeah go go away yeah yeah yeah yeah yeah yeah yeah yeah go go away yeah yeah yeah yeah yeah yeah yeah yeah go go away yeah yeah yeah yeah yeah yeah yeah yeah go go away we just wanna party party just for you we just want the money money just for you i know you wanna party party just for free girl you got me dancin we just wanna party we just want the money i know you wanna party girl you got me dancin this is america dont catch you slippin now dont catch you slippin now look what im whippin now this is america dont catch you slippin now dont catch you slippin now look what im whippin now dont catch you slippin now look how im livin now police be trippin now guns in my area i gotta carry em yeah yeah ima go into this yeah yeah ima go get the bag yeah yeah or ima get the pad yeah yeah im so cold like yeah we gon blow like yeah ooh ooh ooh ooh ooh tell somebody you go tell somebody grandma told me get your money black man get your money black man black man dont catch you slippin now look what im whippin now dont catch you slippin now look what im whippin now im so fitted im so pretty watch me move thats a tool black ooh know that ooh work it contraband contraband contraband they gonna find you like blocka ooh ooh ooh ooh ooh tell somebody america i just checked my following list and you go tell somebody you mothafuckas owe me grandma told me get your money black man get your money black man black man ooh ooh ooh ooh ooh tell somebody you go tell somebody grandma told me get your money get your money black man get your money black man black man you just a black man in this world you just a barcode ayy you just a black man in this world drivin expensive foreigns ayy you just a big dawg yeah i kenneled him in the backyard no probably aint life to a dog for a big dog
14,alls my life i has to fight nigga alls my life i hard times like god bad trips like yeah nazareth im fucked up homie you fucked up but if god got us then we gon be alright nigga we gon be alright nigga we gon be alright we gon be alright do you hear me do you feel me we gon be alright nigga we gon be alright huh we gon be alright nigga we gon be alright do you hear me do you feel me we gon be alright uh and when i wake up i recognize youre looking at me for the pay cut but homicide be looking at you from the face down what mac 11 even boom with the bass down schemin and let me tell you bout my life painkillers only put me in the twilight where pretty pussy and benjamin is the highlight now tell my momma i love her but this what i like lord knows 20 of em in my chevy tell em all to come and get me reaping everything i sow so my karma comin heavy no preliminary hearings on my record im a motherfucking gangster in silence for the record tell the world i know its too late boys and girls i think i gone cray drown inside my vices all day wont you please believe when i say wouldnt you know we been hurt been down before nigga when our pride was low lookin at the world like where do we go nigga and we hate po po wanna kill us dead in the street fo sho nigga im at the preachers door my knees gettin weak and my gun might blow but we gon be alright nigga we gon be alright nigga we gon be alright we gon be alright do you hear me do you feel me we gon be alright nigga we gon be alright huh we gon be alright nigga we gon be alright do you hear me do you feel me we gon be alright what you want you a house or a car 40 acres and a mule a piano a guitar anything see my name is lucy im your dog motherfucker you can live at the mall i can see the evil i can tell it i know its illegal i dont think about it i deposit every other zero thinking of my partner put the candy paint it on the regal digging in my pocket aint a profit big enough to feed you everyday my logic get another dollar just to keep you in the presence of your chico ah i dont talk about it be about it everyday i sequel if i got it then you know you got it heaven i can reach you pet dog pet dog pet dog my dog thats all pick back and chat i trap the back for yall i rap i black on track so rest assured my rights my wrongs i write til im right with god wouldnt you know we been hurt been down before nigga when our pride was low lookin at the world like where do we go nigga and we hate po po wanna kill us dead in the street fo sho nigga im at the preachers door my knees gettin weak and my gun might blow but we gon be alright nigga we gon be alright nigga we gon be alright we gon be alright do you hear me do you feel me we gon be alright nigga we gon be alright huh we gon be alright nigga we gon be alright do you hear me do you feel me we gon be alright i keep my head up high i cross my heart and hope to die lovin me is complicated too afraid a lot of changes im alright and youre a favorite dark nights in my prayers i remembered you was conflicted misusing your influence sometimes i did the same abusing my power full of resentment resentment that turned into a deep depression found myself screamin in the hotel room i didnt wanna self destruct the evils of lucy was all around me so i went runnin for answers
16, last night people protesting in minneapolis escalated as demonstrators were lashed by tear gas and rubber bullets the main message here the main message here the main message here is that they want to see those officers involved they want to see those officers arrested officers arrested trade my 4x4 for a g63 aint no more free lil steve i gave em chance and chance and chance again i even done told them please i find it crazy the policell shoot you and know that you dead but still tell you to freeze fucked up i seen what i seen i guess that mean hold him down if he say he cant breathe its too many mothers thats grieving they killing us for no reason been going on for too long to get even throw us in cages like dogs and hyenas i went to court and they sent me to prison my mama was crushed when they said i cant leave first i was drunk then i sobered up quick when i heard all that time that they gave to taleeb he got a life sentence plus we just some products of our environment how the fuck they gon blame us you cant fight fire with fire i know but at least we can turn up the flames some every colored person aint dumb and all whites not racist i be judging by the mind and heart i aint really into faces fucked up the way that we livin is not getting better you gotta know how to survive crazy i had to tell all of my loved ones to carry a gun when they going outside stare in the mirror whenever you drive overprotective go crazy for mine you gotta pay attention to the signs seem like the blind following the blind thinking bout everything thats going on i boost security up at my home im with my kind if they right or they wrong i call him now hell pick up the phone and its five in the morning he waking up on it tell em wherever im at then they comin i see blue lights i get scared and start runnin that shit be crazy they posed to protect us throw us in handcuffs and arrest us while they go home at night that shit messed up knowing we needed help they neglect us wondering who gon make them respect us i can see in your eye that you fed up fuck around got my shot i wont let up they know that we a problem together they know that we can storm any weather its bigger than black and white its a problem with the whole way of life it cant change overnight but we gotta start somewhere might as well gon head start here we done had a hell of a year ima make it count while im here god is the only man i fear fuck it im goin on the front line he gon bust your ass if you come past that gun line you know when the storm go away then the sun shine you gotta put your head in the game when its crunch time i want all my sons to grow up to be monsters i want all my daughters to show out in public seems like we losing our country but we gotta stand up for something so this what it comes to every video i see on my conscience i got power now i gotta say somethin corrupted police been the problem where im from but id be lying if i said it was all of them i aint do this for the trend i dont follow them altercations with the law had a lot of them people speaking for the people im proud of them stick together we can get it up out of them i cant lie like i dont rap about killing and dope but im telling my youngins to vote i did what i did cause i didnt have no choice or no hope i was forced to just jump in and go this bullshit is all that we know but its time for a change got time to be serious no time for no games we aint takin no more let us go from them chains god bless they souls every one of them names its bigger than black and white its a problem with the whole way of life it cant change overnight but we gotta start somewhere might as well gon head start here we done had a hell of a year ima make it count while im here god is the only man i fear they trainin officers to kill us then shootin protestors with these rubber bullets they regular people i know that they feel it these scars too deep to heal us what happened to covid nobody remember it aint makin sense im just here to vent it happen to one of your people its different we get it the system is wicked just learn how to pick it knowledge is power i swear im a witness i know that im gifted i wont go too deep cause im scared theyll get me aint scared to admit it some shit i cant mention its people who can well heres the chance i wont take the stand but ill take a stand for what i believe must not be breathing the air that i breathe you know that the way that i bleed you can bleed i never been a fan of police but my neighborhood know i try to keep peace so its only right that i get in the streets march for a reason not just on gp our people died for us to be free fuck do you mean this was a dream now we got the power that we need to have they dont want us with it and thats why they mad yeah its bigger than black and white its a problem with the whole way of life it cant change overnight but we gotta start somewhere might as well gon head start here we done had a hell of a year ima make it count while im here god is the only man i fear its bigger than black and white its a problem with the whole way of life it cant change overnight but we gotta start somewhere might as well gon head start here we done had a hell of a year ima make it count while im here god is the only man i fear
17,and i fell they dont care enough
18, our lord grant us good in this world and good in the life to come keep us safe from the torment of the fire as we keep our hands up high and scream for justice ferguson rest in peace mike brown and all the young soldiers out there god help us time to take a stand and save our future like we all got shot we all got shot throwing up our hands dont let them shoot us cause we all we got we all we got god aint put us on the earth to get murdered its murder god aint put us on the earth to get murdered its murder dont point your weapons at me seen the pictures feel the pain scandalous how they murder son tired of them killing us im on my way to ferguson talked to tip i talked to diddy them my brothers walking with me mothers crying stop the riots we aint got to chalk the city i seen cole out there felt i should go out there they left that boy for hours in the cold out there they killin teens they killin dreams yo come on we gotta stick together we all we got police taking shots and i aint talkin bout ciroc im talking bout emmett till im talking bout ezell ford im talking bout sean bell they never go to jail for trayvon over skittles mike brown cigarillos history keeps repeating itself like a biggie instrumental americas a glass house and my revenge is mental rather use my brain than throw a cocktail through a window i got the keys to the city still we left in the cold hands in the sky still was left in the road ribbon in the sky michael brown another soul stole by the system black men we pay the toll the price is your life uncle sam want a slice black dress code now we looting in the night now we throwing molotovs in this holocaust and i know they hate to hear me screaming im a boss like we all got shot we all got shot throwing up our hands dont let them shoot us cause we all we got we all we got god aint put us on the earth to get murdered its murder god aint put us on the earth to get murdered its murder dont point your weapons at me tired of the okie dokie lying you pinocchio driving while black tell me where am i supposed to go gun shots hit the car now i got the holy ghost if excessive force was a drug then they overdosed got us tryna protest its a slow process heard its a lotta rotten eggs in the crows nest people praying on they feet police holding on they heat turned on the news and seen a tank rolling down the street yeah i seen a lot of ice water tossed and i know its for a cause my only question is what we doing for the loss of mike brown cause right now i challenge you to use your talents to speak up and dont you ever let em silence you cause action speaks louder than words thats what i heard shot down with his hands up thats what occurred man that sound absurd matter fact to me that sound like murder we want justice ayy yo game i had a crib out there i used to live out there so i know how niggas feel out there people stressing protesting unity is a blessing so its time we come together use our voice as a weapon i am michael brown cause i stand for what he stand for news say were looting paint pictures like we some animals on my nwa cmg hollerin rest in peace eazy and fuck the police heard another brother slain up in st louis sure the mother feel the pain but what you famous doing i m sure the general population trying to be more active but when the light finally catches you youre ice challenged okay and i support the als just like the rest of them but you have yet to pay your debt so you just flexing then cause everybody care for a minute then stop people only there for a minute then stop and whats the point of giving if you aint giving your all we never getting ahead might as well give up your heart where does it end i got my hands up what else am i supposed to do rest in peace to mike brown where does it end and all the other fallen soldiers tell me wheres the love for everything were going through that will not be on the news or televised ah mercy mercy mercy mercy me hope that god can save us mercy mercy mercy mercy me as we lead in peace martin luther king had a dream but they aint respecting jesse up out here and they dont really respect obama out here lights out go dark its like a nightmare how the fuck you play the game but they aint playing fair its going down armageddon right here right now not on tv but right here put your flags in the air if you dont really care we need justice yeah we need justice here i heard he surrendered but we all saw how they did him television broadcasts a confused country im a resident of a nation that dont want me whats done is done the town erupts in fury and im already hearing bout this lopsided jury three faces like his the rest another story a lot of motherfuckers need to act more worried the revolution has been televised if i sit here and do dont do nothing homie thats genocide fuck that we have arrived and who cares who aint on our side cause we on our own how do you preach peace to a family that just lost they own my brodie game just banged my line like we gotta do something all that marching and that peace aint gonna fucking do nothing fuck it my moms sorry im ready to rage the police done let the animals out of the cage oh lord its time to take a stand and save our future like we all got shot we all got shot throwing up our hands dont let them shoot us cause we all we got we all we got god aint put us on the earth to get murdered its murder god aint put us on the earth to get murdered its murder dont point your weapons at me stand up
