song_name,artist_name,song_type
thank god i found you,mariah carey,r&b
stutter,joe,r&b
go on girl,ne-yo,r&b
stingy,ginuwine,r&b
that girl,marques houston,r&b
talkin' to me,amerie,r&b
i should have cheated,keyshia cole,r&b
he is,brandy,r&b
shake it off,mariah carey,r&b
into you,fabolous,r&b
do you,ne-yo,r&b
he wasn't man enough,toni braxton,r&b
touch,omarion,r&b
call me,tweet,r&b
love,keyshia cole,r&b
get down on it,kool and the gang,r&b
i'll take you there,the staple singers,r&b
mr. big stuff,jean knight,r&b
pick up the pieces,average white band,r&b
beautiful,snoop dogg,hip-hop
how we do,the game,hip-hop
like a pimp,david banner,hip-hop
oh boy,camron,hip-hop
it wasn't me,shaggy,hip-hop
party up,dmx,hip-hop
country grammar (hot shit),nelly,hip-hop
in da club,50 cent,hip-hop
what's your fantasy,ludacris,hip-hop
shake ya tailfeather,murphy lee,hip-hop
hey ma,camron,hip-hop
drop it like it's hot,snoop dogg,hip-hop
always on time,ja rule,hip-hop
wanna get to know you,g-unit,hip-hop
bunny hop,da entourage,hip-hop
ride wit me,nelly,hip-hop
rollout (my business),ludacris,hip-hop
lean back,terror squad,hip-hop
welcome to jamrock,damian marley,hip-hop
p.i.m.p.,50 cent,hip-hop
right thurr,chingy,hip-hop
