,lyrics
19, beautiful i just want you to know youre my favorite girl beautiful i just want you to know youre my favorite girl i know you gon lose it this new snoop shit come on baby boo you gots to get into it dont fool with the player with the cool whip yeah yeah you know im always on that cool shit walk to it do it how you do it have a glass let me put you in the mood and little cutie looking like a student long hair with ya big fat booty back in the days you was a girl i went to school with had to tell your moms and sister to cool it the girl wanna do it i just might do it hit her up with some pimp pimp fluid mommy dont worry i wont abuse it hurry up and finish so we can watch clueless i laugh at these niggas when they ask who do this but everybody know ooh girl that you is beautiful i just want you to know youre my favorite girl beautiful i just want you to know youre my favorite girl when i see my baby boo shit i get foolish smack a nigga that tries to pursue it homeboy she taken just move it i asked you nicely dont make the dogg lose it we just blow dro and keep the flow moving in a 64 me and baby boo cruisin body rag interior blue and have them hydraulics squeaking when we screwing now shes yelling hollering out snoop and hooting hollering hollering hooting black and beautiful you the one im choosin hair long thin black and curly like youre cuban keep grooving thats what we doin and we gon be together until your moms move in beautiful i just want you to know youre my favorite girl beautiful i just want you to know youre my favorite girl see i just want you to know that you are really special oh my oh my oh my oh my see i just want you to know that you are really special oh my oh my oh my oh my snoop dogg clothing thats what im groomed in you got my pictures on the wall in your room and girls be complaining you keep me boomin but girls like that wanna listen to pat boone yous a college girl but that dont stop you from doin come and see the dogg in a hood near you in you dont ask why i roll with a crew and twist up my fingers and wear dark blue and on the eastside thats the crew i choose nothing i do is new to you i smack up the world if they rude to you cause baby girl youre so beautiful beautiful i just want you to know youre my favorite girl beautiful i just want you to know youre my favorite girl see i just want you to know that you are really special oh my oh my oh my oh my see i just want you to know that you are really special oh my oh my oh my oh my see i just want you to know that you are really special oh my oh my oh my oh my i just want you to know that you are really special oh my oh my oh my oh my ehh oh yeah theres something about you oh hooo ehh oh yeah theres something about you oh hooo ehh oh yeah theres something about you oh hooo 
20, this is how we do we make a move and act a fool while we up in the club this is how we do nobody do it like we do it so show us some love this is how we do we make a move and act a fool while we up in the club this is how we do nobody do it like we do it so show us some love fresh like uhh impala uhh chrome hydraulics 808 drums you dont want none nigga better run when beef is on ill pop that trunk come get some pistol grip pump if a nigga step on my white air ones its red rum ready here it come compton uhh dre found me in the slums sellin that skunk one hand on my gun i was sellin rocks when master p was sayin uhhhh buck pass the blunt these g unit girls just wanna have fun coke and rum got weed on the ton im bangin with my hand up her dress like uhh ill make her cum purple haze in my lungs whole gang in the front in case a nigga wanna stunt i put lamborghini doors on that escalade low pro so low look like im ridin on blades in one year mayne a nigga so paid i have a straight bitch in the telly goin both ways touch me tease me kiss me please me i give it to you just how you like it girl youre now rockin with the best tre pound on my hip teflon on my chest they say im no good cause im so hood rich folks do not want me around cause shit might pop off and if shit pop off somebody gon get laid the fuck out they call me new money say i have no class im from the bottom i came up too fast the hell if i care im just here to get my cash bougie ass bitches you can kiss my ass this is how we do we make a move and act a fool while we up in the club this is how we do nobody do it like we do it so show us some love this is how we do we make a move and act a fool while we up in the club this is how we do nobody do it like we do it so show us some love i put gold daytonas on that cherry six fo white walls so clean look like im ridin on vogues hit one switch mayne that ass so low cali got niggas in new york ridin on hundred spokes touch me tease me kiss me please me i give it to you just how you like it girl youre now rockin with the best four pound on my hip gold chain on my chest 50 uhh bentley uhh em came and got a nigga fresh out the slum automatic gun fuck em one on one we wrap up your punk ass stunt and you done homie its game time you ready here it come call lloyd banks and get this motherfucker crunk it took two months but 50 got it done signed with g unit had niggas like huh dont try to front ill leave your ass slumped thinkin im a punk get your fuckin head lumped 50 got a gun ready here it come got a sick ven detta to get this cheddar meet my be retta the drama setter sip ama retta my flow sounds better than average on tracks im a savage i damage any nigga tryin to front on my clique 
21, real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo by the time i hit the door i saw hoes on the floor niggas dressed in suits trickin all they dough me im a pimp i aint paying for no sex man id rather buy a car or a new rolex cause i got street fame so hoes flock like birds i got one holdin the weed i got one holdin the syrup when i hit the club ima be with david banner a thug ass nigga with bad table manners we act bad my nigga what is yall saying like when we walk inside clubs niggas hold they gal hand cause they know we run trains all night how could your gal leave me and be with you all night but its all right cause you know we dont kiss like too short said bitches aint shit i tried to told ya that most girls really freaks and this is how they got to make they money every week real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo step into club lookin just like a pimp we got cash so we screaming out shake some bitch this is your song tell the dj put it on michael tyler made you shake and sisqo made you show your thong bitch im dead wrong been playa from the crib so get out on the floor girl and get it how you live and since you so hot fuck it show your pussy lips you go to tougaloo but i know you still flip bitch dont trip aint a damn thing changed i still love my queen but bitches hip me to the game so if you gotta ho shake em up and let it go yeah and let them girls get down on the flo on the flo like a pimp yeah real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo real girls get down on the flo on the flo now dont you hate them old lying ass hoes smiling in your face wearing her best friends clothes i suppose they like the way me and banner pimp you can catch us at pappadeaux eating steak and shrimp or you can catch us at e js pouring it up flip whipping caddy trucks girls licking my nuts we some southside pimps and we aint giving a fuck poke your girl up in the throat and make her swallow the nut we make em swallow the nut so follow the truck lil flip and david banner we got all of the bucks and all of they sluts and all of the hoes so drop it like its hot girl touch your fucking toes go on touch your toes and make me a roll and go on hit the mall and buy me some clothes mane and if your boy trip imma bust a clip yall bitches cant fuck with me and lil flip nigga nigga nigga yeah nigga this for the real money makers out there you know get yo mother fucking money dont worry bout the next nigga get yo mother fucking money get yo mother fucking money nigga uh get your money
22, oh baby uh killa look at his car look mami im no good im so hood clap at your soldiers sober then leave after its over killa im not your companion or your mans stand in hit me when you wanna get rammed in ill be scramblin with lots of mobsters shop for lobsters cops and robbers listen every block is blaka but she like the way i diddy bop you peep that mink on mauri kicks plus chanel ski hat she want the killa killa now she playin with herself cam dig it out lift her up ma its just a fuck girl get it out pick on up they want the boy montana with guns with bandanas listen to my homeboy santana put a shell in ya he screamin this niggas bitchin damn whoa whoa cmon im in trouble need bail money shit where the fuck is my he gon come get his uh huh uh huh just me and my when the cops come squalie yeah this is for the sports cars bonitas jimmys pjs old school eighteenth at the sports bar eight or nine on the holla at your boy killa holla listen its the d i p shit aint no stoppin em guns we got a lot of em shit matter of fact guru start poppin em then slap up this diplomats are them santanas that cannons and bandanas blammers we dont brandish blam at your mans canvas then scram with your mans leaded and im back with my until that man is vanished away in the grand canyon these kids are grand standin niggas demand ransom over them grams scramblin well fuck it van damme em camll blam blam em call up his im down south tannin mami i got the remedy tommys up at the enemy homis and bodies but now my body youre feelin finicky killa and capo we chill in morocco for reala we got dough chinchilla dough and fill with them hollows huh its the killa
23, yo man yo open up man yo what you want man my girl just caught me you made her catch you i dont know how i let this happen with who the girl next door ya know man i dont know what to do say it wasnt you alright honey came in and she caught me red handed creepin with the girl next door picture this we were both butt naked bangin on the bathroom floor how could i forget that i had given her an extra key all this time she was standin there she never took her eyes off me how ya fi give the woman access to your villa trespasser and a witness all the hacklin a yuh pillow you better watch your back before she turn into a killa best review the situation that you caught up inna to be a true player you haffi know how fi play if she say a night convince her say a day never admit to a word when she say and if she claim a yuh tell her baby no way saw me bangin on the sofa she even caught me on camera heard the words that i told her she stayed until it was over honey came in and she caught me red handed creepin with the girl next door picture this we were both butt naked bangin on the bathroom floor i had tried to keep her from what she was about to see why should she believe me when i told her it wasnt me make she know say that she really no have right fi vex a never you she see yah make the gigolo flex a smaddy else weh favor you inna di complex seein is believin so you better change your specs you know she a go bring a whole heap a things up from the past all the likkle evidence you betta know fi mask quick pon yuh answer know how fi talk but if she pack a gun you know you betta run fast saw me bangin on the sofa she even caught me on camera heard the words that i told her she stayed until it was over honey came in and she caught me red handed creepin with the girl next door picture this we were both butt naked bangin on the bathroom floor how could i forget that i had given her an extra key all this time she was standin there she never took her eyes off me wanna tell her that im sorry for the pain that ive caused ive been listenin to your reasonin it makes no sense at all need to tell her that im sorry for the pain that ive caused you may think that youre a player but youre completely lost thats why i sing honey came in and she caught me red handed creepin with the girl next door picture this we were both butt naked bangin on the bathroom floor how could i forget that i had given her an extra key all this time she was standin there she never took her eyes off me
24,uhh uh whoo yall gon make me lose my mind up in here up in here yall gon make me go all out up in here up in here yall gon make me act a fool up in here up in here yall gon make me lose my cool up in here up in here if i gotsta bring it to you cowards then its gonna be quick aight all your mens up in the jail before suck my dick and all them other cats you run with get done with dumb quick how the fuck you gonna cross the dog with some bum shit aight there go the gun click 9 1 1 shit all over some dumb shit aint that some shit yall niggas remind me of a strip club cause everytime you come around its like i just gotta get my dick sucked and i dont know who the fuck you think you talkin to but im not him aight slim so watch what you do or you gon find yourself buried next to someone else and we all thought you loved yourself but that couldnt have been the issue or maybe they just sayin that now cause they miss you shit a nigga tried to diss you thats why you layin on your back lookin at the roof of the church preacher tellin the truth and it hurts yall gon make me lose my mind up in here up in here yall gon make me go all out up in here up in here yall gon make me act a fool up in here up in here yall gon make me lose my cool up in here up in here off the chain i leave niggas soft in the brain cause niggas still want the fame off the name first of all you aint rapped long enough to be fuckin with me and you you aint strong enough so whatever it is you puffin on that got you think that you superman i got the kryptonite should i smack him with my dick and the mic yall niggas is characters not even good actors whats gon be the outcome hmm lets add up all the factors you wack youre twisted your girls a hoe youre broke the kid aint yours and erybody know your old man say you stupid you be like so i love my baby mother i never let her go im tired of weak ass niggas whinin over puss that dont belong to them fuck is wrong with them they fuck it up for real niggas like my mans and them who get it on on the strength of the hands with them man yall gon make me lose my mind up in here up in here yall gon make me go all out up in here up in here yall gon make me act a fool up in here up in here yall gon make me lose my cool up in here up in here i bring down rains so heavy it curse the head no more talkin put him in the dirt instead you keep walin lest you tryin to end up red cause if i end up fed yall end up dead cause youse a soft type nigga fake up north type nigga puss like a soft white nigga dog is a dog bloods thicker than water we done been through the mud and we quicker to slaughter the bigger the order the more guns we brought out we run up in there erybody come out dont nobody run out sun in to sun out ima keep the gun out nigga runnin his mouth ima blow his lung out listen yo ass is about to be missin you know who gon find you some old man fishin grandma wishin your souls at rest but its hard to digest with the size of the hole in your chest yall gon make me lose my mind up in here up in here yall gon make me go all out up in here up in here yall gon make me act a fool up in here up in here yall gon make me lose my cool up in here up in here hold up errrrrrrr one two meet me outside meet me outside meet me outside all my ruff ry ders go on meet me outside meet me outside meet me outside all my big ball ers go on meet me outside meet me outside meet me outside all my fly lad ies go on meet me outside meet me outside meet me outside all my street street peoples meet me outside meet me outside outside motherfucker x is got yall bouncin again bouncin again bounce bouncin again dark man x got ya bouncin again bouncin again bounce bouncin again swizz beatz got yall bouncin again bouncin again bounce bouncin again bouncin again bounce bouncin again dark man keep you bouncin again bouncin again bounce bouncin again dark man keep you bouncin again bouncin again bounce bouncin again all my streets they bouncin again bouncin again were bouncin again swizz swizz beatz we bouncin again bouncin again and we bouncin again double r keep it comin aint nuttin yall aint nuttin yall can do now boom
25, mmmmm im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now mmmmm you can find me in st louis rolling on dubs smoking on dubs in clubs blowing up like cocoa puffs sipping bud getting perved and getting dubbed daps and hugs mean mugs and shoulder shrugs and its all because accumulated enough scratch just to navigate it wood decorated on chrome and its candy painted fans fainting while im entertaining wild aint it how me and money get acquainted i hang with hannibal lecter so feel me when i bring it sing it loud im from the lou and im proud run a mile for the cause im righteous above the law player my styles raw i m born to mack like todd shaw forget the fame and the glamour give me ds with a rubber hammer my grammar bes ebonics gin tonic and chronic fuck bionic its ironic slamming niggas like onyx lunatics till the day i die and i run more game than the bulls and sonics im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now who say pretty boys cant be wild niggas loud niggas o k corral niggas foul niggas run in the club and bust in the crowd nigga how nigga ask me again and its going down nigga now nigga come to the circus and watch me clown nigga pound niggas what you be giving when im around nigga frown niggas talking that shit when i leave the town nigga say now can you hoes come out to play now hey im ready to cut you up any day now play by my rules boo and you gon stay high may i answer your third question like a i say hi to my niggas left in the slamma from st louis to memphis from texas back up to indiana chi town k c motown to alabama l a new york yankee niggas to hotlanta louisiana all my niggas with country grammar smoking blunts in savannah blow thirty mil like im hammer im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now lets show these cats to make these millions so you niggas quit acting silly mon kid quicker than billy mon talking really and i need it mon flows i kick em freely mon especially off remi mon keys to my beemer mon holler at beenie man see me mon chiefin rollin deeper than any mon through jennings mon through u city back up to kingsland with nice niggas sheist niggas who snatch yo life niggas trife niggas who produce and sell the same beat twice nigga ice niggas all over close to never sober from broke to having brokers my price range is rover now im knocking like jehovah let me in now let me in now bill gates donald trump let me in now spend now i got money to lend my friends now we in now candy benz kenwood and 10s now i win now fucking lesbian twins now seeing now through the pen i make my ends now im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now im going down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now
26, go go go go go go go shorty its your birthday we gon party like its your birthday and we gon sip bacardi like its your birthday and you know we dont give a fuck its not your birthday you can find me in the club bottle full of bub look mami i got the x if you into takin drugs im into havin sex i aint into makin love so come give me a hug if you into gettin rubbed you can find me in the club bottle full of bub look mami i got the x if you into takin drugs im into havin sex i aint into makin love so come give me a hug if you into gettin rubbed when i roll twenty deep its twenty knives in the club niggas heard i fuck with dre now they wanna show me love when you sell like eminem and the hoes they wanna fuck look homie aint nothin changed hoes down gs up i see xzibit in the cut hey nigga roll that weed up if you watch how i move youll mistake me for a player or pimp been hit with a few shells but i dont walk with a limp they like me i want em to love me like they love pac but holla in new york the niggasll tell you im loco im fully focused man my money on my mind got a mil out the deal and im still on the grind her girlfriend with her they bi and they ready to go you can find me in the club bottle full of bub look mami i got the x if you into takin drugs im into havin sex i aint into makin love so come give me a hug if you into gettin rubbed you can find me in the club bottle full of bub look mami i got the x if you into takin drugs im into havin sex i aint into makin love so come give me a hug if you into gettin rubbed my flow my show brought me the dough that bought me all my fancy things my crib my cars my clothes my jewels look nigga i done came up and i aint changed and you should love it way more than you hate it nigga you mad i thought that youd be happy i made it im that cat by the bar toastin to the good life you that faggot ass nigga tryin to pull me back right when my joint get to pumpin in the club its on i wink my eye at yo bitch if she smiles she gone if the roof on fire let the motherfucker burn if you talkin about money homie i aint concerned ima tell you what banks told me cuz go head switch the style up if niggas hate then let them hate and watch the money pile up or we can go upside your head with a bottle of bub they know where we fuckin be you can find me in the club bottle full of bub look mami i got the x if you into takin drugs im into havin sex i aint into makin love so come give me a hug if you into gettin rubbed you can find me in the club bottle full of bub look mami i got the x if you into takin drugs im into havin sex i aint into makin love so come give me a hug if you into gettin rubbed dont try to act like you dont know where we be neither nigga we in the club all the time nigga so pop pop off nigga g unit
27,ludacris yeah yeah yeah yeah give it to me now give it to me now give it to me now give it to me now shawna yeah yeah yeah yeah give it to me now give it to me now give it to me now give it to me now chorus ludacris shawna i wanna li li li lick you from your head to your toes and i wanna move from the bed down to the down to the floor i wanna ah ah you make it so good i dont wanna leave but i got le le let me now kno kno know whats your fan ta sy ludacris i wanna get in th georgia dome on the fifty yard line when the dirty birds kick fo three and if you like it in the club we can do it in the dj booth or in the back of the vip whip cream with cherries and strawberries on top lick it dont stop with the dow lock while the boat rock we go buy robots or they got to wait til the show stop or how bout on the beach with black sand lick up your thighs and call me pac man table top or just give me a lap dance the rock to the park to the point to the flat lands that man named ludacris in the public bathroom or in the back of a classroom however you want it lover lover gonna tap that ass some see i cast em and i pass em get a tight grip and i grasp em i flash em and out last em and if it aint good then i trash em while you stash em ill let em free and tell me what they fantasy like up on the roof roof tell your boyfriend not to be mad at me chorus ludacris i wanna get you in the bath tub with the candles lit you give it up til they go out or we can do it on stage of the ludacris concert cause you know it got sold out or red carpet dick could just roll out go head and scream you cant hold out we can do it in the pouring rain runnin the train when its hot or cold out how bout in the library on top of books but you cant be too loud you wanna make a brother beg for it give me tlc cause you know i be too proud we can do it in the white house try to make them turn the lights out champaign with my campaign let me do the damn thing whats my name whats my name whats my name aww the sauna jacuzzi in the back row at the movie you can scratch my back and rule me you can push me or just pull me on hay in the middle of the barn rose pedals on the silk sheets uh eating fresh fruits sweep yo woman right off her feet chorus ludacris i wanna get you in the back seat windows up thats the way you like to fuck fogged up fog alert rip the pants and rip the shirt ruff sex make it hurt in the garden all in the dirt roll around georgia brown thats the way i like it twerk legs jerk over worked under paid dont be afraid in the sun or in the shade on the top of my escalade maybe your girl and my friends can trade tag team off the rope on the ocean or in the boat factories or hundred spokes what bout in the candy sto that chocolate chocolate make it melt whips and chains handcuffs smack a little bootie up with my belt scream help play my game dracula and ill get my fangs horse back ill get my reins school teacher let me get my grades chorus 
28, we do it for fun we just do it for fun derrty ent we do it for fun bad boy we do it for fun bend them trucks we do it for fun stack them bucks we do it for fun and the band played on we do it for fun singing my song we do it for fun bad boys 2 the soundtrack lets go hey girl what your name is where you from turn around who you came with is that your ass or your mama half reindeer i cant explain it but damn sure glad you came here im still a sucker for cornrows you know i never changed that your body is banging mama but where your brains at im still the same cat when i was younger running with bad boys but now im on the hook and so im running with bad boy here come another man unlike no other man candy coated switching every other lane yall help me why dont cha please help me eighth girl this week and its only tuesday i like the cocky bowlegged ones black white and dominicans hispanics and asians please shake it for nelly san manolos ma no nos i cant tell everybody aint that rich just when you do it do it well let me see you take it low we can even do it slow take it where you want to go just take that ass to the floor we can even do it slow take it where you want to go just take that ass to the floor now get that money honey act like you know and to the floor now where them girls at its diddy murphy lee and nelly how you love that come on we got another one player from new york to the dirty how they loving it player baby you impressive lets get to know each other you the best of the best and you got to love it in the dresses the sexiest i had to tell her shes a young janet jackson live in living color look here mama youre dead wrong for having them pants on capris cut low so when you shake it i see your thong my pockets full of dough shake your feathers til the morning its bad boy and nelly man somebody better warn them let me see you take it low we can even do it slow take it where you want to go just take that ass to the floor we can even do it slow take it where you want to go just take that ass to the floor oh no i heard them bad boys coming cant stop now got to continue my running cause we gon party til the lights come on and if my song stop fuck it cause my mics still on yo im the big booty type i like em thick with their mind right im not hard ive got women to handle that they be like he the man when im really a thundercat come on you know the tics connect like voltron collect so much grass popo thinking we mow lawns my cole haans dont match that but it matches her headwrap and the seats that i got in the lac im just a juvenile cause i be about gs keep the women weezy many say they have my babies im young like turk i like that cash and that money man im that damn hungry you see im starvin like marvin girl ive got sixteen bars of fire is what im starting plus my rats come in packs like sammy and dean martin and i got so many keys you think im valet parking let me see you take it low we can even do it slow take it where you want to go just take that ass to the floor we can even do it slow take it where you want to go just take that ass to the floor oh no i heard them bad boys coming cant stop now got to continue my running cause we gon party til the lights come on and if my song stop fuck it cause my mics still on 
