,lyrics
0, i would give up everything before id separate myself from you after so much suffering i finally found unvarnished truth i was all by myself for the longest time so cold inside and the hurt from the heartache would not subside i felt like dying until you saved my life thank god i found you i was lost without you my every wish and every dream somehow became reality when you brought the sunlight completed my whole life im overwhelmed with gratitude cause baby im so thankful i found you i will give you everything theres nothing in this world i wouldnt do to ensure your happiness ill cherish every part of you cause without you beside me i cant survive dont wanna try if you keeping me warm each and every night ill be alright cause i need you in my life thank god i found you i was lost without you my every wish and every dream somehow became reality when you brought the sunlight completed my whole life im overwhelmed with gratitude cause baby im so thankful i found you see i was so desolate before you came to me looking back i guess it shows that we were destined to shine over the rain to appreciate the gift of what we have and id go through it all over again to be able to feel this way thank god i found you i was lost without you my every wish and every dream somehow became reality when you brought the sunlight completed my whole life im overwhelmed with gratitude see baby im so thankful i found you thank god i found you i was lost without you im overwhelmed with gratitude my baby im so thankful i found you you im overwhelmed with gratitude my baby im so thankful i found you
1,b b baby dont go b b baby dont go b b baby dont go i need you talk to me tell me where you were late last night you told me you were with your friends hanging out late last night youre lying cause youre stuttering now where were you late last night stop lying to me cause youre ticking me off see youre ticking me off ooh girl i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i called you on your cell phone no answer so i paged you on your two way still no response i took care of you i loved you and you played me stop lying to me about where you been cause youre ticking me off ticking me off i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters its funny to me when you lie to me you start stuttering tripping i caught you baby its funny to me when you lie to me you start stuttering tripping i caught you baby i smell cologne damn its strong howd you get it on he messed up your hair makeups everywhere oh yeah girl youre crying cause youre lying to my face stop lying about seein a man cause youre ticking me off i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters i can tell youre lying because when youre replying stutter stutters stutter stutters
2, i cant get it back but i dont want it back i realized that she dont know how to act never been a dumb dude no im not dense i just had a slight lack of common sense i was the good guy she was the bad girl im thinking one girl she thinking me earl james and jimmy yep she had plenty but love for me she didnt have any i was inviting her into my heart but she was out riding in some other mans car she was my night time thought i was her star guess i was wrong but see im strong wont take long for me to move on please dont worry bout me im fine only gonna play the fool one time trust me when i say that ill be okay go on girl go on girl go on girl i cant get it back but i dont want it back i realized that she dont know how to act tried to settle down and look what i get thought it was my time but i guess not yet she at the bar getting drinks from many men im in the house thinking shes with her girlfriends just not knowing truly not knowing i look back now like man i was open i was inviting her into my heart but she was out riding in some other mans car she was my night time thought i was her star guess i was wrong but see im strong wont take long for me to move on please dont worry bout me im fine only gonna play the fool one time trust me when i say that ill be okay go on girl go on girl go on girl the mistake i made is clear thats the reason youre not here not a single salty tear not a feeling in my chest baby im feeling no stress im too fly to be depressed go on girl go on girl go on girl go on girl hey ooh please dont worry bout me im fine only gonna play the fool one time trust me when i say that ill be okay go on girl go on girl go on girl please dont worry bout me im fine only gonna play the fool one time trust me when i say that ill be okay go on girl go on girl go on girl go on girl go on girl go on girl ill be fine
3,you know what baby i need to tell you something and its something very important you know i want you to take this time out and just listen and hold me close you hear me listen can i have you for a minute dont get shy coz my hearts in it when i say you got me strung out i dont know and i cant call it but whatever it is youve got it no babe without a doubt yeah never been the one to cling and i dont like to be needed but now i guess thats all changed thats why i get mad at your folks coz i dont want you to go no babe i want you to stay you can say im trippin but im stingy and i cant hide it wanna keep you all to me im selfish why try to fight it youre the only one with the only love thats strong enough to claim me so please forgive me im just stingy but how can you blame me baby tell me how you do it coz you got me so into it im gone but i dont understand so amazing captivating elevating any way you try to put it i wanna be your man so if you wanna put me on i dont mind its alright im for it i would so adore it nothing turns me on more than being with you baby im not trippin you can say im trippin but im stingy and i cant hide it wanna keep you all to me im selfish why try to fight it youre the only one with the only love thats strong enough to claim me so please forgive me im just stingy but how can you blame me do what you want anything anything i am all yours you can do no wrong everything everything i do because im so wide open no joking you got me right where you want me to be i just hope you feel the same coz i dont want nothing to change this is where i wanna be so if you wanna put me on i dont mind its alright im for it i would so adore it nothing turns me on better than being with you baby im not trippin you can say im trippin but im stingy and i cant hide it wanna keep you close to me im selfish why try to fight it youre the only one with the only love thats strong enough to claim me so please forgive me im just stingy but how can you blame me you can say im trippin but im stingy and i cant hide it wanna keep you close to me im selfish why try to fight it youre the only one with the only love thats strong enough to claim me so please forgive me im just stingy but how can you blame me
4, yow can i talk to you for a minute look all i did was look why you trippin look check this out check it baby look im tired of trying to convince you that i aint caught up lying when she walked passed me i looked so what big deal i dont understand how that can make you feel that my love aint for real every day i thank the lord above that youre with me youre with me tell me why would i throw that away why would i throw that away how can i do it through this is where i wanna be yeah so i may look occasionaly youre the only one i need if i wanted that girl then i would be with that girl that one aint for me shes fine as hell but shell always be that girl nothing more than that girl no matter what she do she dont compare to you what you yellin for why you screamin girl you act as if you just caught me cheating when you look at other men and dont act like you dont i dont tripp because i know that im the guy you come home to every night everyday i thank the lord above that youre with me that youre with me tell me why would i throw that away why would i throw that away what can i do to prove that this is where i wanna be yeah so i may look occasionally youre the only one i need if i wanted that girl then i would be with that girl but that one aint for me she fine hell but shell always be that girl nothing more than that girl no matter what she do she dont compare to you yeah check it i know i need you right here with me oh i know i need you no other girl will do cause i need you right here with me oh i need you whoow that girl then i would be withthat girl but that one aint for me shes fine as hell but shell always bethat girl nothing more than that girl no matter what she do she dont compare to you yeah if i wanted that girl i would be withthat girl but that one aint for me shes fine as hell but shell always bethat girl nothing more than that girl no matter what she do she just cant be you baby 
5,funny how its hard to find the words sometimes you know wishin we could read minds dont wanna let our feelings show so even if you say you dont understand im willing to give as much time as i can every time our eyes meet be talkin talkin talkin talkin to me talkin talkin talkin talkin to me just aint no need for words to speak cause every touch be talkin talkin talkin to me be talkin talkin talkin to me your always actin so composed and cool never got too many words for me you always turn your head and make sure i see baby aint nothin wrong with the love that you and i dream of so sweet your eyes can say more than your lips can speak my friends say that they just cant see how a love unspoken can be so deep and every time that you look my way i see what your heart wants to say to me every time our eyes meet be talkin talkin talkin talkin to me talkin talkin talkin talkin to me just aint no need for words to speak cause every touch be talkin talkin talkin to me be talkin talkin talkin to me every time our eyes meet be talkin talkin talkin talkin to me talkin talkin talkin talkin to me just aint no need for words to speak cause every touch be talkin talkin talkin to me be talkin talkin talkin to me talkin talkin talkin talkin to me talkin talkin talkin talkin to me talkin talkin talkin every time our eyes meet be talkin talkin talkin talkin to me talkin talkin talkin talkin to me just aint no need for words to speak cause every touch between us talkin talkin talkin talkin talkin talkin to me yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh oh ohh yeah yeah yeah
6,baby first of all let me say you cant accuse me of all the things you know that you are guilty of and i see that it is easy for you to blame everything on me if thats the case i should go have my fun and do all the things you say i do boy i cant continue to take this from you i might as well have cheated on you as much as you accused me of cheating i might as well have lied to you as much as you accused me of lying i might as well have gone to the club as much as you accused me of clubbin i might as well have given away my love as much as you accused me i should have cheated when you say i was out with somebody else when my girl told me she saw you with some girl but i didnt accuse you of something that i didnt see myself realize that i would never do anything to disrespect you trust me you gotta stop accusing me i might as well have cheated on you as much as you accused me of cheating i might as well have lied to you as much as you accused me of lying i might as well have gone to the club as much as you accused me of clubbin i might as well have given away my love as much as you accused me dont you know i wish i knew that you would treat me this way if you dont promise me that youve changed your ways im leaving today and i aint coming back and you made it like that was unfair to me all this jealousy im your everything what will you do without me why you trippin i might as well have cheated on you as much as you accused me of cheating i might as well have lied to you as much as you accused me of lying i might as well have gone to the club as much as you accused me of clubbin i might as well have given away my love as much as you accused me i should have cheated i should have lied i should have cheated maybe i should have went out to the club or maybe i i should have done it should have given away all my love or maybe i i should have played you cause you dont appreciate me no and i tried to stay down with you but youre making it hard for me i might as well have cheated on you as much as you accused me of cheating i might as well have lied to you as much as you accused me of lying i might as well have gone to the club as much as you accused me of clubbin i might as well have given away my love as much as you accused me i should have cheated as much as you accused me of cheatin i should have cheated as much as you accused me of lying as much as you accused me of clubbin as much as you accused me of cheatin i should have cheated i should have cheated i should have cheated i should have cheated
7,its the only explanation to the question at hand like years of pain gone away in a single day theres nothing that compares to the way you make me feel inside and im so glad youre my prince charming my angel my king and my friend my lover my one he is he is the beat in my heart the kiss on my lips my lover my one he is he is they could take away the money my fortune and fame but as long as you stay here with me i would be ok i look at you and i see me just reflections of the love you made with me and im so glad you want to be my prince charming my angel my king and my friend my lover my one he is he is the beat in my heart the kiss on my lips my lover my one he is he is my sun my shine my love my life he is everything i need i gotta love you like no one has ever loved before i gotta give you what you gave me baby so much more i wanna take it fast but i want to take it slow addicted to your love and i cant let go prince charming my angel my king and my friend my lover my one he is he is the beat in my heart the kiss on my lips my lover my one he is he is
8, ooh ooh ooh ooh ooh ooh everybody just everybody just bounce bounce check it out ooh ooh ooh ooh ooh ooh everybody just everybody just bounce bounce cause the loving aint the same and you keep on playing games like you know im here to stay just like the calgon commercial i really gotta get up outta here and go somewhere gotta make that move find somebody who appreciates all the love i give boy i gotta gotta do whats best for me baby and that means i gotta by the time you get this message its gonna be too late so dont bother paging me cause ill be on my way see i grabbed all my diamonds and clothes just ask your momma she knows youre gonna miss me baby hate to say i told you so well at first i didnt know but now its clear to me you would cheat with all your freaks and lie compulsively so i packed up my louis vuitton jumped in your ride and took off youll never ever find a girl who loves you more than me cause the loving aint the same and you keep on playing games like you know im here to stay just like the calgon commercial i really gotta get up outta here and go somewhere gotta make that move find somebody who appreciates all the love i give boy i gotta gotta do whats best for me baby and that means i gotta shake shake shake shake shake it off shake shake shake shake shake it off shake shake shake shake shake it off shake shake shake shake shake it off i found out about a gang of your dirty little deeds with this one and that one by the pool on the beach in the streets heard yall was hold up my phones breakin up imma hang up and call the machine right back i gotta get this off of my mind you wasnt worth my time so im leaving you behind yeah cause i need a real love in my life save this recording because im never coming back home baby im gone dont ya know cause the loving aint the same and you keep on playing games like you know im here to stay just like the calgon commercial i really gotta get up outta here and go somewhere gotta make that move find somebody who appreciates all the love i give boy i gotta gotta do whats best for me baby and that means i gotta shake shake shake shake shake it off shake shake shake shake shake it off shake shake shake shake shake it off shake shake shake shake shake it off i just gotta shake it off cause the loving aint the same and you keep on playing games like you know im here to stay just like the calgon commercial i really gotta get up outta here and go somewhere gotta make that move find somebody who appreciates all the love i give i gotta shake shake it off gotta do whats best for me baby and that means i gotta shake it off i gotta shake you off
9, desert storm i cant really explain it im so into you now i want to be more than a friend of you now when they ask i mention my baby girl in the interviews now and i dont bring the problems from the 90s into 2 thou theres no reason to have a friend or two now cause the kids ready to tell you how he feel in a few vows maybe im speakin general now but girl ima do whatever just to keep a grin on you now where i go they wear bikinis in the winter too now what you think about tan lines on the skin of you now why wouldnt i wanna spend a few thou on 5th ave shoppin sprees and them dinners to chows i aint concerned what other men would do now as long as when i slide up in you you growl and any dude with you he better be a kin of you now and i aint jealous its the principle now im so into you i really like what youve done to me i cant really explain it im so into you i really like what youve done to me i cant really explain it im so into you come on ma its more than a flashin i woulda traded it all in orderly fashion my villa in florida we crashin just off the shore so you can hear when water be splashin the drop top three and a quarter we dashin the flawless diamonds and the border we flashin the money we oughta be stashin i make sure every quarter be cashed in i cant really explain it my friend be thinkin im slippin these girls be thinkin im trippin what kinda weed he be smokin what type of drinks you be sippin sweet thing just to think of you dippin would have me with the blues so hard you would think i was crippin now you relaxin in the benz credit cards with no limits so you dont worry about maxin when you spend ever since youve been askin bout the friends howd you like it if both our names had jackson on the ends uh i really like what youve done to me i cant really explain it im so into you i really like what youve done to me i cant really explain it im so into you i dont wanna trip but truth is girl the way you cook a steak remind me of those strips in ruth chris you love my smile no matter how chipped my tooth is with you it aint because my whips is roofless or sit on chrome dipped dub deuces and you aint flattered by canary envy es dipped jesus other ballers look dumb when they press you five and sixes you dont let them kinda numbers impress you even though i was somewhat successful bein a player was becomin too stressful but every since the superwoman has come to my rescue my winters been wonderful my summers been special lets fly to st bart while the villa be painted just so we can get really acquainted the love is real theres no way it could feel like its tainted but i cant really explain it uh yeah i really like what youve done to me i cant really explain it im so into you i really like what youve done to me i cant really explain it im so into you i really like what youve done to me i cant really explain it im so into you i really like what youve done to me i cant really explain it im so into you ohhhh no no no no no nooooo oooohhhh no no so into you
